,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
LeftShoulder_LeftArm_LeftForeArm_Angle_STD,0.2653187065743251,0.08298601808022858,0.06757115591420655,0.06582070828040572,-0.28849152112701754,-0.0024062760018188295,0.009615227385944843,0.12306257468166852,0.1845419003237184,-0.05882080422108345,-0.12349046163522584,-0.2021518206905003,-0.10132683056485232,0.5256175314247464
LeftShoulder_LeftArm_LeftForeArm_Angle_ZeroCross,0.243338364502095,-0.09533500387238109,-0.12093051466206725,0.11660559910198874,-0.011341768451854955,-0.004973124742839698,0.4262313552154203,-0.21385510992446405,0.08507349467933702,-0.20679547116175717,0.2043049787899842,0.0827779480795818,0.19806984453558743,-0.24720046167245785
LeftUpLeg_LeftLeg_LeftFoot_Angle_CV,0.17471552348276162,-0.09627610563045447,0.3484493813907876,0.13297565315403334,0.24152037237930382,0.10301336661872101,0.1675057753292292,0.11104699855168153,0.20139024971308572,0.11547279164353584,0.14811344191696552,-0.18081742164148035,-0.016542063573837376,0.11737670267328257
LeftUpLeg_LeftLeg_LeftFoot_Angle_STD,0.2632098676683308,0.07785994918691215,0.04111623462231975,-0.11944434576224595,0.07538400964481182,0.24912650539934716,-0.22983734724942273,0.12105792268814938,0.03865163349548081,0.21265263412057,-0.1354019699317378,0.20435561542203895,-0.09233394705992527,-0.09621600635093076
LeftUpLeg_LeftLeg_LeftFoot_Angle_ZeroCross,0.1032188410725206,-0.2607788834565211,-0.10588062012190776,-0.23261066036752132,-0.02319229379160944,0.03631026492511436,0.07181468098390698,0.31953882788377236,-0.3647750902237228,-0.049256873910744126,-0.1823298260758986,-0.21512987483211723,0.27293954779342966,-0.0032278076073299798
RightShoulder_RightArm_RightForeArm_Angle_CV,0.11192171293480672,0.18540730268163555,0.3308916029619845,-0.08858548216807806,-0.2661003473776463,-0.15075293382413582,-0.08807303182509904,-0.13012337136388516,-0.03690942275180654,0.24390066009547837,0.3000682009621202,-0.08171613366595402,0.15015028464657484,-0.13771683686499428
RightShoulder_RightArm_RightForeArm_Angle_STD,0.2142707380782186,0.07336611873724697,0.15232487374092826,-0.03651882028469266,-0.4490786628470941,0.0007549787878943384,-0.13985716494085712,0.02884395052248573,0.42787469724516985,-0.07632185397920808,-0.12525146319376032,0.041413077699813075,0.0949042914809407,-0.03098725086874142
RightShoulder_RightArm_RightForeArm_Angle_ZeroCross,0.26692522490124243,-0.11055784960982487,-0.03610040120699081,-0.007989901201486892,-0.029380927164101404,0.06847925413275789,0.2577657087309222,-0.12648198953532414,-0.02185408844281636,-0.1282319108798864,0.3913459719530293,0.11797168474574314,0.004482663043431381,0.2025158417774676
RightUpLeg_RightLeg_RightFoot_Angle_CV,0.0795486060467164,0.049870147352428736,0.3965197193873112,-0.14069485861612205,0.2909621178651829,-0.2488694144654772,-0.3729494861365214,0.10157777755520891,-0.034203279582259966,-0.3597167167030415,0.08627607329083398,0.19056534277555134,0.022151662669420737,0.03066674702607518
RightUpLeg_RightLeg_RightFoot_Angle_STD,0.2203164094717414,0.10846174438031882,-0.012500346861158307,-0.04803338288825817,0.22818260728834322,0.4614898468097079,-0.10722352299116249,-0.06276218389334827,-0.15020541979335958,0.09828881109304374,0.004898604592203202,-0.07637872926810398,-0.2023508017660028,-0.1442549422285687
