feature,PC,abs_loading,family
RightUpLeg_RightLeg_RightFoot_Angle_ZeroCross,PC6,0.08486082692932544,ZeroCross
Spine1_Spine3_Head_Angle_CV,PC6,0.16153095044181556,CV
Spine1_Spine3_Head_Angle_STD,PC6,0.12990016531449514,STD
Spine1_Spine3_Head_Angle_ZeroCross,PC6,0.07175206509811424,ZeroCross
Spine3_LeftShoulder_LeftArm_Angle_CV,PC6,0.34790236204022823,CV
Spine3_LeftShoulder_LeftArm_Angle_STD,PC6,0.11090052839750876,STD
Spine3_LeftShoulder_LeftArm_Angle_ZeroCross,PC6,0.07914705249617532,ZeroCross
Spine3_RightShoulder_RightArm_Angle_CV,PC6,0.24156491778109115,CV
Spine3_RightShoulder_RightArm_Angle_STD,PC6,0.0793745305221833,STD
Spine3_RightShoulder_RightArm_Angle_ZeroCross,PC6,0.055384877820472314,ZeroCross
Hips_LeftUpLeg_LeftLeg_Angle_CV,PC7,0.21332494748592498,CV
Hips_LeftUpLeg_LeftLeg_Angle_STD,PC7,0.05138908564579941,STD
Hips_LeftUpLeg_LeftLeg_Angle_ZeroCross,PC7,0.21476390477235435,ZeroCross
Hips_RightUpLeg_RightLeg_Angle_CV,PC7,0.21327802941906426,CV
Hips_RightUpLeg_RightLeg_Angle_STD,PC7,0.19963649251402488,STD
Hips_RightUpLeg_RightLeg_Angle_ZeroCross,PC7,0.08498581721736463,ZeroCross
Hips_Spine1_Spine3_Angle_CV,PC7,0.06282683985350061,CV
Hips_Spine1_Spine3_Angle_STD,PC7,0.029472825885813292,STD
Hips_Spine1_Spine3_Angle_ZeroCross,PC7,0.08326162944190241,ZeroCross
LeftShoulder_LeftArm_LeftForeArm_Angle_CV,PC7,0.21297996993930288,CV
LeftShoulder_LeftArm_LeftForeArm_Angle_STD,PC7,0.009615227385944843,STD
LeftShoulder_LeftArm_LeftForeArm_Angle_ZeroCross,PC7,0.4262313552154203,ZeroCross
LeftUpLeg_LeftLeg_LeftFoot_Angle_CV,PC7,0.1675057753292292,CV
