,Hips_LeftUpLeg_LeftLeg_Angle_CV,Hips_LeftUpLeg_LeftLeg_Angle_STD,Hips_LeftUpLeg_LeftLeg_Angle_ZeroCross,Hips_RightUpLeg_RightLeg_Angle_CV,Hips_RightUpLeg_RightLeg_Angle_STD,Hips_RightUpLeg_RightLeg_Angle_ZeroCross,Hips_Spine1_Spine3_Angle_CV,Hips_Spine1_Spine3_Angle_STD,Hips_Spine1_Spine3_Angle_ZeroCross,LeftShoulder_LeftArm_LeftForeArm_Angle_CV,LeftShoulder_LeftArm_LeftForeArm_Angle_STD,LeftShoulder_LeftArm_LeftForeArm_Angle_ZeroCross,LeftUpLeg_LeftLeg_LeftFoot_Angle_CV,LeftUpLeg_LeftLeg_LeftFoot_Angle_STD,LeftUpLeg_LeftLeg_LeftFoot_Angle_ZeroCross,RightShoulder_RightArm_RightForeArm_Angle_CV,RightShoulder_RightArm_RightForeArm_Angle_STD,RightShoulder_RightArm_RightForeArm_Angle_ZeroCross,RightUpLeg_RightLeg_RightFoot_Angle_CV,RightUpLeg_RightLeg_RightFoot_Angle_STD,RightUpLeg_RightLeg_RightFoot_Angle_ZeroCross,Spine1_Spine3_Head_Angle_CV,Spine1_Spine3_Head_Angle_STD,Spine1_Spine3_Head_Angle_ZeroCross,Spine3_LeftShoulder_LeftArm_Angle_CV,Spine3_LeftShoulder_LeftArm_Angle_STD,Spine3_LeftShoulder_LeftArm_Angle_ZeroCross,Spine3_RightShoulder_RightArm_Angle_CV,Spine3_RightShoulder_RightArm_Angle_STD,Spine3_RightShoulder_RightArm_Angle_ZeroCross
RightShoulder_RightArm_RightForeArm_Angle_ZeroCross,-0.4723192618855111,0.24374012476454707,0.7887792344943213,-0.10486248301152562,0.44073169751542796,0.8303248290293569,0.1644501076502208,0.05101561468135327,0.8570937012463907,-0.05501872937681881,0.6696871695228501,0.9454259850343225,0.5857155748855005,0.6302182854205562,0.5498427526725213,0.10995022734278716,0.5094415994278917,1.0,0.044664055411320444,0.545686988738745,0.715048929816602,0.332111453988044,-0.209862675472273,0.8907671916648717,-0.17573174289570967,0.3114716807407009,0.8064547445906779,-0.060367006788780535,0.3010981059999895,0.8050720014027971
RightUpLeg_RightLeg_RightFoot_Angle_CV,0.13940580203284775,0.26783354084266614,0.17463236853411643,0.420410707801085,0.17306675505345237,0.0010679806989279156,0.18992880230842146,0.16081891757874897,0.10721615699413406,0.41485950445631814,0.2266745697623852,-0.13258080208455442,0.5374396364182282,0.3538893717665416,-0.12959875368734003,0.5688459451648723,0.29279799829008013,0.044664055411320444,1.0,0.1982880522536108,0.19041831632783243,0.17736753342927764,-0.25876634644765517,0.2619379780096259,0.005027127747866416,-0.2566475705791468,0.35519561144302736,0.39469630111808085,-0.03267934274511645,-0.010999236361346438
RightUpLeg_RightLeg_RightFoot_Angle_STD,0.0751877800874821,0.8200257282679747,0.4023473519489675,0.35196314832612063,0.8289383242719817,0.3940682654941989,-0.09544846026059788,0.5198484756141838,0.5773682457688407,0.171338526346329,0.6021163737059981,0.439173692379014,0.40967567219172185,0.8971320441176723,0.03340976543784202,0.29437739542589997,0.42226277123374717,0.545686988738745,0.1982880522536108,1.0,0.12147949115438758,0.026380557363637716,0.2537828154164069,0.6806120517364871,0.1733568361302361,0.464605568222994,0.4592601456895762,0.4085811014533006,0.6002187923308495,0.1730435462827346
RightUpLeg_RightLeg_RightFoot_Angle_ZeroCross,-0.599619740393623,-0.22817933712927163,0.5790830104485293,-0.33353614790390795,-0.007683867520842944,0.6960829520207651,0.3234534777469892,-0.2178563129805406,0.614727519322956,-0.11242192269354878,0.30010884117176706,0.5924104726239723,0.5847462413302478,0.33524250564935576,0.8194552195536084,-0.08674499561987459,0.23363382192508067,0.715048929816602,0.19041831632783243,0.12147949115438758,1.0,0.13988298729337362,-0.63531272360435,0.5795446681946135,-0.44301964822525886,-0.18795516787044703,0.6391982239007795,-0.3357034802609326,-0.22923147110761474,0.773480262800659
Spine1_Spine3_Head_Angle_CV,-0.41024491870646473,0.03814471819998042,0.18704697515501975,-0.04969660457930338,0.11007457099718017,0.22933173024728065,0.6456887679373567,-0.25643988899038755,0.33477257124145693,0.0830639958756571,0.3587293217296218,0.3760672177112821,0.5009217889622652,0.0676189772435139,0.03557334290963759,0.13528236514704411,0.2208107151843941,0.332111453988044,0.17736753342927764,0.026380557363637716,0.13988298729337362,1.0,0.10011714274414808,0.28418648020116183,-0.172530183244493,0.05370695858616675,0.3510298426299197,0.04702700290680319,0.0546081917019177,0.4317176366304992
Spine1_Spine3_Head_Angle_STD,0.2942331723770938,0.5742953443993721,-0.17114991012185987,0.3785921984800597,0.430184744560817,-0.2394393962096961,-0.42307505036299686,0.5848498583258692,-0.1438879326017238,0.33738369585510664,0.25485705953697546,-0.14978733231321525,-0.47146222977860025,0.17356327443826078,-0.521526331424797,0.23333429987421228,0.18955111084078985,-0.209862675472273,-0.25876634644765517,0.2537828154164069,-0.63531272360435,0.10011714274414808,1.0,-0.09608957684259987,0.5193326559720635,0.6781250402088272,-0.3705147098307767,0.3964808100139607,0.5613852598039917,-0.3279278360043709
Spine1_Spine3_Head_Angle_ZeroCross,-0.35897971055189565,0.4399084603001209,0.874891795499098,0.0724532581512893,0.569511969706253,0.8114272109085133,0.018816888331540393,0.2081316030160571,0.9151655292516384,0.20269858656858228,0.7552986893283438,0.7982807305194015,0.5754632429831861,0.8028760945439501,0.38597438898472824,0.33260800785633077,0.5769756547252017,0.8907671916648717,0.2619379780096259,0.6806120517364871,0.5795446681946135,0.28418648020116183,-0.09608957684259987,1.0,0.08025743178048952,0.44439123561663063,0.8407175617501116,0.22035749337627045,0.4994254966990357,0.6541600865329599
Spine3_LeftShoulder_LeftArm_Angle_CV,0.4495355571170683,0.532739104901397,-0.01938003515699443,0.5679690458812703,0.5099704092086295,-0.14715919950160403,-0.6135948840173895,0.6674080543040707,-0.10461762669083537,0.64038327123901,0.2395402976663244,-0.024492147192805503,-0.32866140022155876,0.15225018151577957,-0.5745838130013625,0.30003218939111836,0.10902412695261118,-0.17573174289570967,0.005027127747866416,0.1733568361302361,-0.44301964822525886,-0.172530183244493,0.5193326559720635,0.08025743178048952,1.0,0.724188488862206,-0.25851600688698834,0.8113478271619984,0.7848167255348881,-0.43348907131648173
Spine3_LeftShoulder_LeftArm_Angle_STD,-0.026450323105932913,0.5964352375434386,0.3916964693345996,0.2243054397618814,0.6479210304315798,0.3743011631757495,-0.5328803253614828,0.6539844572652899,0.3637883826492689,0.32414796381674155,0.5476914745181112,0.43126616628425885,-0.24067504187597735,0.4660742534505411,-0.16193677668384196,0.11777729113592046,0.3371557971672256,0.3114716807407009,-0.2566475705791468,0.464605568222994,-0.18795516787044703,0.05370695858616675,0.6781250402088272,0.44439123561663063,0.724188488862206,1.0,0.11518830473673422,0.576825173873568,0.9241612961620229,0.0639242614477301
Spine3_LeftShoulder_LeftArm_Angle_ZeroCross,-0.5090113200911252,0.13841592798774724,0.8672373863302438,-0.16634337789538928,0.25973866977552656,0.8343127926593991,0.25374995522901195,-0.1677845860486978,0.8665123377050074,-0.12237229861068422,0.5826107334805626,0.706453807370305,0.6000419456676902,0.6293860457891931,0.5307642315157021,0.15310114864164537,0.520711204118752,0.8064547445906779,0.35519561144302736,0.4592601456895762,0.6391982239007795,0.3510298426299197,-0.3705147098307767,0.8407175617501116,-0.25851600688698834,0.11518830473673422,1.0,-0.05366877142324199,0.1765947384366745,0.8283362113176338
