,Hips_LeftUpLeg_LeftLeg_Angle_CV,Hips_LeftUpLeg_LeftLeg_Angle_RMS,Hips_LeftUpLeg_LeftLeg_Angle_STD,Hips_LeftUpLeg_LeftLeg_Angle_ZeroCross,Hips_RightUpLeg_RightLeg_Angle_CV,Hips_RightUpLeg_RightLeg_Angle_RMS,Hips_RightUpLeg_RightLeg_Angle_STD,Hips_RightUpLeg_RightLeg_Angle_ZeroCross,Hips_Spine1_Spine3_Angle_CV,Hips_Spine1_Spine3_Angle_RMS,Hips_Spine1_Spine3_Angle_STD,Hips_Spine1_Spine3_Angle_ZeroCross,LeftShoulder_LeftArm_LeftForeArm_Angle_CV,LeftShoulder_LeftArm_LeftForeArm_Angle_RMS,LeftShoulder_LeftArm_LeftForeArm_Angle_STD,LeftShoulder_LeftArm_LeftForeArm_Angle_ZeroCross,LeftUpLeg_LeftLeg_LeftFoot_Angle_CV,LeftUpLeg_LeftLeg_LeftFoot_Angle_RMS,LeftUpLeg_LeftLeg_LeftFoot_Angle_STD,LeftUpLeg_LeftLeg_LeftFoot_Angle_ZeroCross,MeanActiveJoints,RightShoulder_RightArm_RightForeArm_Angle_CV,RightShoulder_RightArm_RightForeArm_Angle_RMS,RightShoulder_RightArm_RightForeArm_Angle_STD,RightShoulder_RightArm_RightForeArm_Angle_ZeroCross,RightUpLeg_RightLeg_RightFoot_Angle_CV,RightUpLeg_RightLeg_RightFoot_Angle_RMS,RightUpLeg_RightLeg_RightFoot_Angle_STD,RightUpLeg_RightLeg_RightFoot_Angle_ZeroCross,Spine1_Spine3_Head_Angle_CV,Spine1_Spine3_Head_Angle_RMS,Spine1_Spine3_Head_Angle_STD,Spine1_Spine3_Head_Angle_ZeroCross,Spine3_LeftShoulder_LeftArm_Angle_CV,Spine3_LeftShoulder_LeftArm_Angle_RMS,Spine3_LeftShoulder_LeftArm_Angle_STD,Spine3_LeftShoulder_LeftArm_Angle_ZeroCross,Spine3_RightShoulder_RightArm_Angle_CV,Spine3_RightShoulder_RightArm_Angle_RMS,Spine3_RightShoulder_RightArm_Angle_STD,Spine3_RightShoulder_RightArm_Angle_ZeroCross
Hips_Spine1_Spine3_Angle_ZeroCross,-0.5552341609084358,0.21900007490261883,0.21961498817417963,0.8241775251885657,-0.18491646897808164,0.3706304613748452,0.3706528412802774,0.8635369367599403,0.19902394777609866,-0.03752882496286878,-0.037509289778710674,1.0,-0.03701306902797997,0.610795043916893,0.6108642634927445,0.7888909087701833,0.5440839737443637,0.7178029973958714,0.7178510918037396,0.5110262479712564,0.18231480506660458,0.10378144369389296,0.45502703599195227,0.45504396787120766,0.8570937012463907,0.10721615699413406,0.5774131377449218,0.5773682457688407,0.614727519322956,0.33477257124145693,-0.1441273539952252,-0.1438879326017238,0.9151655292516384,-0.10461762669083537,0.3637834931243848,0.3637883826492689,0.8665123377050074,0.05524103253556673,0.37084105874713696,0.3708363597943257,0.772757683341186
LeftShoulder_LeftArm_LeftForeArm_Angle_CV,0.5030114134780276,0.5774362960075782,0.5772106261350306,0.010313022040872113,0.8092492455434998,0.5550912865767096,0.5551167847803417,-0.20080099971807416,-0.26090837168843767,0.599030596640752,0.5989376143219295,-0.03701306902797997,1.0,0.48386732857284015,0.4838051683392216,-0.082909237579828,0.1105430849807178,0.29834497025513584,0.2983135598290967,-0.4104741859805091,0.5887054916127017,0.8022702075670038,0.4378775660186143,0.43783493805987983,-0.05501872937681881,0.41485950445631814,0.17136681816861,0.171338526346329,-0.11242192269354878,0.0830639958756571,0.3374965939902448,0.33738369585510664,0.20269858656858228,0.64038327123901,0.32416753420118904,0.32414796381674155,-0.12237229861068422,0.571136327051622,0.3565663228517504,0.3565662497425194,-0.251690866937664
LeftShoulder_LeftArm_LeftForeArm_Angle_RMS,-0.10330466853275151,0.663637463466861,0.6639433588113653,0.6080752659893343,0.38038398760096453,0.7625793760207122,0.7626180764722855,0.5309660242112056,0.004087855346333095,0.5138615591499804,0.5137221879237448,0.610795043916893,0.48386732857284015,1.0,0.9999999854435982,0.6093043115121494,0.4571661136269674,0.7884989847930832,0.7884830022024019,0.07542343436307138,0.5511980262934967,0.6049357229483672,0.916815995914252,0.9168221478192577,0.6696426925822572,0.22667805630094612,0.6022937578408554,0.60213769661099,0.3000383804990925,0.3587183215138906,0.2547713468625997,0.2548985367557436,0.7552687505536869,0.2395999541582464,0.547694271523186,0.5476903568858312,0.5825582046143148,0.2249287646629422,0.5446027994538506,0.5446003873209639,0.5028093084358092
LeftShoulder_LeftArm_LeftForeArm_Angle_STD,-0.10342411307582391,0.6635663396050733,0.6638723476970145,0.6081284857226368,0.38027706155417146,0.7625302786525401,0.7625689790100478,0.5310564490445463,0.0041338157728489444,0.5138339188261669,0.5136946689295196,0.6108642634927445,0.4838051683392216,0.9999999854435982,1.0,0.6093444557154557,0.4571972358332354,0.7885121383564252,0.7884961836370669,0.07551282239138922,0.5511753359020294,0.6048802221658448,0.9168184286131636,0.916824585386634,0.6696871695228501,0.2266745697623852,0.6022724232233343,0.6021163737059981,0.30010884117176706,0.3587293217296218,0.2547298293423038,0.25485705953697546,0.7552986893283438,0.2395402976663244,0.5476953862605219,0.5476914745181112,0.5826107334805626,0.2248963306818337,0.5445850911135319,0.5445826799755226,0.5028739258537233
LeftShoulder_LeftArm_LeftForeArm_Angle_ZeroCross,-0.45500959846157923,0.1926721896270608,0.1930969291237193,0.7043197950669765,-0.125272600723029,0.43170443035850836,0.43175787843610547,0.7882885488709244,0.13985333089326363,0.027276180100366188,0.02720618124372237,0.7888909087701833,-0.082909237579828,0.6093043115121494,0.6093444557154557,1.0,0.4713107083657563,0.4780444672376753,0.4780620178630887,0.4528647245115823,0.07769620933367065,-0.019022141955088636,0.4094612522845624,0.4094615743974428,0.9454259850343225,-0.13258080208455442,0.4391763907539774,0.439173692379014,0.5924104726239723,0.3760672177112821,-0.14997536566298966,-0.14978733231321525,0.7982807305194015,-0.024492147192805503,0.4312720274588786,0.43126616628425885,0.706453807370305,0.01934887705636073,0.40914047612427024,0.4091351389567852,0.7527089381633969
LeftUpLeg_LeftLeg_LeftFoot_Angle_CV,-0.2839997295067149,0.1652618433989707,0.1656117712127115,0.2998583893158322,0.07406102279565975,0.2951961336982893,0.29522361657139007,0.3697419091484239,0.7148858666732272,-0.08550903829198063,-0.0855187553300332,0.5440839737443637,0.1105430849807178,0.4571661136269674,0.4571972358332354,0.4713107083657563,1.0,0.4902962956889562,0.4903215209925373,0.24494209707659195,-0.22079781684328215,0.304469157288871,0.3761445816986257,0.37612222432830494,0.5857155748855005,0.5374396364182282,0.4096844459461228,0.40967567219172185,0.5847462413302478,0.5009217889622652,-0.47163967106925064,-0.47146222977860025,0.5754632429831861,-0.32866140022155876,-0.2406718784622927,-0.24067504187597735,0.6000419456676902,0.046415271050176385,-0.042150711274699625,-0.04215885627112911,0.43980481465749127
LeftUpLeg_LeftLeg_LeftFoot_Angle_RMS,-0.0866621208440443,0.7412809064470948,0.7417225978764891,0.5887800535730598,0.31423018589227797,0.7732291657740612,0.7732143674346369,0.555045215069882,-0.0566881422299547,0.534066611581861,0.5339554912736414,0.7178029973958714,0.29834497025513584,0.7884989847930832,0.7885121383564252,0.4780444672376753,0.4902962956889562,1.0,0.9999999810085821,0.1559832598090937,0.5997189233755238,0.4464403192987131,0.6815194596108367,0.6815474800609275,0.6301819788387835,0.35385863303581955,0.8972708008092862,0.8971880020356502,0.33513136999225035,0.06765959263971244,0.1734708127156461,0.17364770387337405,0.8028539306329531,0.1523142826911406,0.4661063996250044,0.46611316327482993,0.6293444070093467,0.338567886815217,0.557179749880081,0.5571769475998365,0.3852847707526817
LeftUpLeg_LeftLeg_LeftFoot_Angle_STD,-0.0867559506545614,0.7411851926206248,0.7416269745962708,0.5888325436328297,0.3141437109845112,0.7731518657760382,0.7731370683460612,0.5551182416690792,-0.05667117161553238,0.5340424504064333,0.533931470492385,0.7178510918037396,0.2983135598290967,0.7884830022024019,0.7884961836370669,0.4780620178630887,0.4903215209925373,0.9999999810085821,1.0,0.15608566644819918,0.5996975046932956,0.4464136605909831,0.6815255038344348,0.6815535214710005,0.6302182854205562,0.3538893717665416,0.8972148320211579,0.8971320441176723,0.33524250564935576,0.0676189772435139,0.17338635614852482,0.17356327443826078,0.8028760945439501,0.15225018151577957,0.46606748887448685,0.4660742534505411,0.6293860457891931,0.3385177430240731,0.5571197132916778,0.5571169123358752,0.3853448802999307
LeftUpLeg_LeftLeg_LeftFoot_Angle_ZeroCross,-0.7239900190438969,-0.3849022411065663,-0.3844446015398576,0.567537246195943,-0.6392646331677674,-0.17106430613496593,-0.17102884248626832,0.7405941167158218,0.18432072950564374,-0.36181340327027267,-0.36160562514244693,0.5110262479712564,-0.4104741859805091,0.07542343436307138,0.07551282239138922,0.4528647245115823,0.24494209707659195,0.1559832598090937,0.15608566644819918,1.0,-0.3764324699774721,-0.4218680934303503,-0.015332341732182118,-0.015313801641687233,0.5498427526725213,-0.12959875368734003,0.03343518384819196,0.03340976543784202,0.8194552195536084,0.03557334290963759,-0.5216990970016485,-0.521526331424797,0.38597438898472824,-0.5745838130013625,-0.16195037849290903,-0.16193677668384196,0.5307642315157021,-0.532908539345705,-0.3247446120595289,-0.3247473521649805,0.7226554530061778
MeanActiveJoints,0.31464325229130424,0.7587444019592429,0.7588690522426925,0.23355712174639098,0.5461560460288143,0.674691025969123,0.6746701604509618,0.08723621413292197,-0.6495372721601501,0.8725164929679802,0.8724685430352209,0.18231480506660458,0.5887054916127017,0.5511980262934967,0.5511753359020294,0.07769620933367065,-0.22079781684328215,0.5997189233755238,0.5996975046932956,-0.3764324699774721,1.0,0.4941682339354742,0.4925968967753211,0.4926073148663493,0.09884685084038383,0.08852149773531166,0.5207848001134022,0.5207657289191651,-0.25445665546643104,-0.23308478000025634,0.6905749426061063,0.6905928504969985,0.35064521944099786,0.7430901979220642,0.8027909060371992,0.8027874254457963,-0.016787108720280813,0.6276158038949624,0.795695703986494,0.7957001969800346,-0.1873807954220694
RightShoulder_RightArm_RightForeArm_Angle_CV,0.5027361046739146,0.6008016000314825,0.6006470696423877,0.14853546759853317,0.790907951011688,0.49590608183119633,0.4958975188348201,-0.15392615233583506,-0.09078886319024439,0.44917971184324934,0.4490765520208417,0.10378144369389296,0.8022702075670038,0.6049357229483672,0.6048802221658448,-0.019022141955088636,0.304469157288871,0.4464403192987131,0.4464136605909831,-0.4218680934303503,0.4941682339354742,1.0,0.7041171466032852,0.7040661356775976,0.10995022734278716,0.5688459451648723,0.29448290519683784,0.29437739542589997,-0.08674499561987459,0.13528236514704411,0.23340910281436988,0.23333429987421228,0.33260800785633077,0.30003218939111836,0.11779516448493177,0.11777729113592046,0.15310114864164537,0.32249234711049357,0.2046513170723388,0.20464888707310822,-0.07786980244701404
RightShoulder_RightArm_RightForeArm_Angle_RMS,0.01066951809816763,0.5387347273476937,0.5389192899098337,0.49357685740597496,0.3980002546638362,0.5684006446537202,0.5684231764802666,0.3605290913798184,0.014204184904877674,0.43221605053221124,0.43217073718314936,0.45502703599195227,0.4378775660186143,0.916815995914252,0.9168184286131636,0.4094612522845624,0.3761445816986257,0.6815194596108367,0.6815255038344348,-0.015332341732182118,0.4925968967753211,0.7041171466032852,1.0,0.9999999928143477,0.5094500337408695,0.29283053851866636,0.42244645944114584,0.4222294330626692,0.23365382881537824,0.22081856373193529,0.18945265122724353,0.18952341558279048,0.5769840185148208,0.10902362316870554,0.3371266807964724,0.3371220183359582,0.5206969924613831,0.04031579073404433,0.3283400319357197,0.32834088020186514,0.4546253622157898
RightShoulder_RightArm_RightForeArm_Angle_STD,0.01064558889899115,0.5387517945404976,0.5389363735877369,0.49357776810992243,0.39797143613633434,0.5684237792384453,0.5684463087138765,0.3605567062748601,0.014205087591235304,0.43222324025204856,0.4321779310045229,0.45504396787120766,0.43783493805987983,0.9168221478192577,0.916824585386634,0.4094615743974428,0.37612222432830494,0.6815474800609275,0.6815535214710005,-0.015313801641687233,0.4926073148663493,0.7040661356775976,0.9999999928143477,1.0,0.5094415994278917,0.29279799829008013,0.42247980861091494,0.42226277123374717,0.23363382192508067,0.2208107151843941,0.18948033908742232,0.18955111084078985,0.5769756547252017,0.10902412695261118,0.3371604561284276,0.3371557971672256,0.520711204118752,0.04031966665629809,0.32836792556716815,0.3283687745832656,0.45464003003416753
RightShoulder_RightArm_RightForeArm_Angle_ZeroCross,-0.4723192618855111,0.2432211605878995,0.24374012476454707,0.7887792344943213,-0.10486248301152562,0.44069408851012115,0.44073169751542796,0.8303248290293569,0.1644501076502208,0.05107317082168553,0.05101561468135327,0.8570937012463907,-0.05501872937681881,0.6696426925822572,0.6696871695228501,0.9454259850343225,0.5857155748855005,0.6301819788387835,0.6302182854205562,0.5498427526725213,0.09884685084038383,0.10995022734278716,0.5094500337408695,0.5094415994278917,1.0,0.044664055411320444,0.5457144203911072,0.545686988738745,0.715048929816602,0.332111453988044,-0.21008376523994304,-0.209862675472273,0.8907671916648717,-0.17573174289570967,0.3114750180319938,0.3114716807407009,0.8064547445906779,-0.060367006788780535,0.30110489282175784,0.3010981059999895,0.8050720014027971
RightUpLeg_RightLeg_RightFoot_Angle_CV,0.13940580203284775,0.2676915753449037,0.26783354084266614,0.17463236853411643,0.420410707801085,0.17306594893872645,0.17306675505345237,0.0010679806989279156,0.18992880230842146,0.16077797769994762,0.16081891757874897,0.10721615699413406,0.41485950445631814,0.22667805630094612,0.2266745697623852,-0.13258080208455442,0.5374396364182282,0.35385863303581955,0.3538893717665416,-0.12959875368734003,0.08852149773531166,0.5688459451648723,0.29283053851866636,0.29279799829008013,0.044664055411320444,1.0,0.19834442104586383,0.1982880522536108,0.19041831632783243,0.17736753342927764,-0.25880813948655623,-0.25876634644765517,0.2619379780096259,0.005027127747866416,-0.25664142636718984,-0.2566475705791468,0.35519561144302736,0.39469630111808085,-0.03267368114029561,-0.03267934274511645,-0.010999236361346438
RightUpLeg_RightLeg_RightFoot_Angle_RMS,0.07516866224805528,0.8197625259037281,0.8200639527914112,0.40244060805449744,0.3519966678906526,0.8290025228466857,0.8289636209986286,0.39411969570836325,-0.09542043626853022,0.5200852420397766,0.5198182372621228,0.5774131377449218,0.17136681816861,0.6022937578408554,0.6022724232233343,0.4391763907539774,0.4096844459461228,0.8972708008092862,0.8972148320211579,0.03343518384819196,0.5207848001134022,0.29448290519683784,0.42244645944114584,0.42247980861091494,0.5457144203911072,0.19834442104586383,1.0,0.9999999398419426,0.1215145101031982,0.026445398856128087,0.2536522304538381,0.25379469309286573,0.6806536136194635,0.17331096819825859,0.46458471610726343,0.46459221538316164,0.459394015106847,0.4084732026551136,0.6001917703788726,0.6001861086264278,0.17320176645290133
RightUpLeg_RightLeg_RightFoot_Angle_STD,0.0751877800874821,0.8197242699031486,0.8200257282679747,0.4023473519489675,0.35196314832612063,0.8289772389299894,0.8289383242719817,0.3940682654941989,-0.09544846026059788,0.5201153837754801,0.5198484756141838,0.5773682457688407,0.171338526346329,0.60213769661099,0.6021163737059981,0.439173692379014,0.40967567219172185,0.8971880020356502,0.8971320441176723,0.03340976543784202,0.5207657289191651,0.29437739542589997,0.4222294330626692,0.42226277123374717,0.545686988738745,0.1982880522536108,0.9999999398419426,1.0,0.12147949115438758,0.026380557363637716,0.2536403385111112,0.2537828154164069,0.6806120517364871,0.1733568361302361,0.46459807057161806,0.464605568222994,0.4592601456895762,0.4085811014533006,0.6002244545762521,0.6002187923308495,0.1730435462827346
RightUpLeg_RightLeg_RightFoot_Angle_ZeroCross,-0.599619740393623,-0.22863222577970954,-0.22817933712927163,0.5790830104485293,-0.33353614790390795,-0.007740689008959634,-0.007683867520842944,0.6960829520207651,0.3234534777469892,-0.21800129689265169,-0.2178563129805406,0.614727519322956,-0.11242192269354878,0.3000383804990925,0.30010884117176706,0.5924104726239723,0.5847462413302478,0.33513136999225035,0.33524250564935576,0.8194552195536084,-0.25445665546643104,-0.08674499561987459,0.23365382881537824,0.23363382192508067,0.715048929816602,0.19041831632783243,0.1215145101031982,0.12147949115438758,1.0,0.13988298729337362,-0.6354908355077983,-0.63531272360435,0.5795446681946135,-0.44301964822525886,-0.18795423028668437,-0.18795516787044703,0.6391982239007795,-0.3357034802609326,-0.22922799383308068,-0.22923147110761474,0.773480262800659
